,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,301,Jonas Jerebko,GSW,32,73,52,21,16.7,6.3,2.2,4.9,45.9,0.9,2.6,36.7,0.9,1.1,80.0,1.0,3.0,3.9,1.3,0.6,0.4,0.2,1.9,14.3,1,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1,302,Omri Casspi,MEM,30,36,14,22,14.5,6.3,2.4,4.5,53.4,0.4,1.2,34.9,1.1,1.6,67.2,0.5,2.7,3.2,0.7,0.6,0.6,0.3,1.0,13.0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,303,Cameron Payne,CLE,24,40,7,33,17.8,6.3,2.4,5.6,43.0,0.6,2.1,29.8,0.8,1.0,80.5,0.3,1.5,1.8,2.7,1.1,0.7,0.2,1.6,14.0,0,0,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3,303,Kevon Looney,GSW,23,80,56,24,18.5,6.3,2.7,4.3,62.5,0.0,0.1,10.0,0.8,1.3,61.9,2.4,2.8,5.2,1.5,0.6,0.6,0.7,2.6,17.9,1,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,305,Troy Daniels,PHX,27,51,13,38,14.9,6.2,2.2,5.4,41.1,1.5,3.8,38.1,0.4,0.5,78.3,0.3,1.2,1.4,0.5,0.5,0.5,0.1,1.5,10.0,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
5,306,Mo Bamba,ORL,20,47,19,28,16.3,6.2,2.5,5.2,48.1,0.4,1.5,30.0,0.8,1.3,58.7,1.4,3.6,5.0,0.8,0.9,0.3,1.4,2.2,17.4,1,0,-5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,307,Tyler Dorsey,MEM,23,48,11,37,14.5,6.2,2.2,5.5,40.5,0.9,2.8,33.3,0.8,1.3,62.3,0.6,1.8,2.4,1.2,0.6,0.3,0.0,1.1,11.2,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,308,Jerryd Bayless,MIN,30,34,15,19,19.3,6.1,2.4,6.8,35.7,0.9,2.9,29.6,0.5,0.8,57.1,0.3,1.5,1.8,3.5,0.9,0.5,0.1,1.6,14.4,2,0,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,309,Sam Dekker,WAS,24,47,14,33,16.8,6.1,2.6,5.4,46.9,0.4,1.3,30.6,0.6,1.0,60.9,1.1,2.0,3.1,1.0,0.5,0.8,0.1,1.0,13.7,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
9,310,Kenrich Williams,NOP,24,46,17,29,23.5,6.1,2.3,6.1,38.4,1.1,3.4,33.3,0.3,0.4,68.4,1.2,3.6,4.8,1.8,0.8,1.0,0.4,2.1,17.9,1,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
10,311,Cheick Diallo,NOP,22,64,27,37,14.0,6.0,2.6,4.2,62.0,0.0,0.1,25.0,0.8,1.0,74.6,1.2,4.0,5.2,0.5,0.8,0.5,0.5,1.8,15.2,10,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
