,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,450,Isaac Humphries,ATL,21,5,1,4,11.3,3.0,1.2,4.2,28.6,0.6,2.2,27.3,0.0,0.0,0.0,0.8,1.4,2.2,0.0,0.0,0.2,0.0,1.4,6.2,0,0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1,450,J.P. Macura,CHA,23,2,1,1,8.4,3.0,1.5,4.5,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,6.3,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,450,Jordan Sibert,ATL,26,1,1,0,4.2,3.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,454,Gary Clark,HOU,24,51,33,18,12.6,2.9,1.0,3.0,33.1,0.8,2.7,29.7,0.1,0.1,100.0,0.5,1.8,2.3,0.4,0.1,0.4,0.5,0.9,8.7,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
4,455,Edmond Sumner,IND,23,23,14,9,9.1,2.9,1.0,2.8,34.4,0.3,1.2,25.9,0.7,1.0,62.5,0.4,0.7,1.0,0.4,0.4,0.5,0.2,1.1,6.6,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,456,Dairis Bertans,NOP,29,12,3,9,13.9,2.8,1.0,3.9,25.5,0.8,2.8,29.4,0.0,0.0,0.0,0.2,0.6,0.8,0.8,0.2,0.1,0.0,0.6,5.1,0,0,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,457,Jarell Martin,ORL,24,42,20,22,7.8,2.7,1.0,2.5,41.3,0.5,1.4,35.1,0.2,0.3,81.8,0.3,1.5,1.7,0.4,0.3,0.1,0.2,1.2,6.0,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,458,Gary Trent Jr.,POR,20,15,14,1,7.4,2.7,1.1,3.3,32.0,0.3,1.4,23.8,0.2,0.5,42.9,0.1,0.7,0.7,0.3,0.3,0.1,0.1,0.3,4.4,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,459,Lonnie Walker IV,SAS,20,17,12,5,6.9,2.6,0.9,2.7,34.8,0.3,0.8,38.5,0.5,0.6,80.0,0.0,1.0,1.0,0.5,0.2,0.4,0.2,0.4,6.2,0,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,460,C.J. Williams,MIN,29,15,4,11,8.5,2.6,1.1,2.3,48.6,0.3,1.1,31.3,0.0,0.1,0.0,0.1,0.5,0.5,0.8,0.3,0.4,0.0,1.1,5.3,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
10,460,Yuta Watanabe,MEM,24,15,5,10,11.6,2.6,1.0,3.4,29.4,0.1,1.1,12.5,0.5,0.7,70.0,0.3,1.8,2.1,0.5,0.4,0.3,0.1,0.7,6.5,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
11,462,Deonte Burton,OKC,25,32,21,11,7.5,2.6,1.0,2.6,40.2,0.3,0.8,29.6,0.3,0.4,66.7,0.1,0.8,0.9,0.3,0.3,0.2,0.3,1.0,5.1,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
12,463,Patrick McCaw,TOR,23,29,17,12,13.7,2.6,0.9,2.2,41.3,0.3,1.0,32.1,0.4,0.5,86.7,0.2,1.4,1.7,1.0,0.6,0.8,0.1,1.3,8.0,0,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,464,Robert Williams III,BOS,21,32,18,14,8.8,2.5,1.1,1.6,70.6,0.0,0.0,0.0,0.3,0.5,60.0,0.8,1.7,2.5,0.2,0.3,0.3,1.3,1.1,10.2,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
14,465,Ryan Anderson,MIA,30,25,7,18,12.9,2.5,0.8,2.8,30.4,0.4,1.6,22.5,0.5,0.6,75.0,0.7,1.4,2.2,0.8,0.6,0.2,0.0,1.0,6.3,0,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
15,466,Jaylen Morris,MIL,23,4,4,0,7.1,2.5,1.0,2.5,40.0,0.3,0.8,33.3,0.3,0.5,50.0,0.0,1.3,1.3,1.0,0.3,0.5,0.0,0.3,6.8,0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,466,Scott Machado,LAL,28,4,3,1,4.8,2.5,1.0,1.5,66.7,0.3,0.3,100.0,0.3,0.3,100.0,0.0,0.0,0.0,0.8,0.0,0.3,0.0,0.5,4.4,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,466,Troy Caupain,ORL,23,4,3,1,3.9,2.5,1.0,2.0,50.0,0.5,0.8,66.7,0.0,0.0,0.0,0.3,0.5,0.8,1.0,0.0,0.3,0.0,0.0,5.7,0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,466,Udonis Haslem,MIA,38,10,8,2,7.5,2.5,1.1,3.3,33.3,0.0,1.2,0.0,0.3,0.4,75.0,0.3,2.4,2.7,0.2,0.3,0.0,0.0,0.9,5.7,1,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
19,470,Jordan Loyd,TOR,25,12,11,1,4.6,2.4,0.7,1.5,44.4,0.3,0.7,50.0,0.8,0.9,81.8,0.1,0.7,0.8,0.5,0.2,0.0,0.0,0.4,3.9,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
20,471,James Nunnally,HOU,28,15,8,7,6.8,2.4,0.8,2.3,35.3,0.5,1.7,32.0,0.3,0.3,100.0,0.0,0.3,0.3,0.5,0.1,0.1,0.0,0.7,3.6,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
21,472,Khyri Thomas,DET,22,26,13,13,7.5,2.3,0.8,2.7,31.9,0.4,1.3,28.6,0.3,0.4,63.6,0.2,0.6,0.8,0.3,0.2,0.3,0.2,0.8,5.0,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
