,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,351,Brandon Sampson,CHI,21,14,3,11,15.3,5.1,2.0,4.3,46.7,0.8,2.1,37.9,0.3,0.4,66.7,0.2,0.9,1.1,0.7,0.9,0.6,0.2,1.4,9.0,0,0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,352,Jalen Jones,CLE,25,16,3,13,13.4,5.1,1.6,3.9,41.9,0.6,1.8,35.7,1.2,1.7,70.4,0.7,1.4,2.1,0.4,0.5,0.6,0.1,1.7,9.8,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,353,Thon Maker,DET,22,64,44,20,15.2,5.0,1.7,4.2,40.7,0.8,2.4,32.0,0.9,1.3,66.7,0.6,2.5,3.2,0.7,0.5,0.3,0.8,1.6,12.7,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
3,354,Keita Bates-Diop,MIN,23,30,10,20,16.8,5.0,2.0,4.7,42.3,0.4,1.7,25.0,0.6,0.9,64.3,0.5,2.2,2.8,0.6,0.5,0.6,0.5,1.0,11.9,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,355,Anthony Tolliver,MIN,33,65,27,38,16.6,5.0,1.5,4.0,38.2,1.2,3.3,37.7,0.7,0.9,78.3,0.2,2.5,2.7,0.7,0.6,0.3,0.3,1.4,10.5,0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,356,Cameron Reynolds,MIN,24,19,6,13,13.7,5.0,1.7,4.1,42.3,1.1,2.7,41.2,0.4,0.5,88.9,0.2,1.4,1.6,0.7,0.3,0.3,0.1,1.4,9.0,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
6,356,De'Anthony Melton,PHX,20,50,13,37,19.7,5.0,2.0,5.1,39.1,0.6,1.9,30.5,0.4,0.6,75.0,0.5,2.2,2.7,3.2,1.5,1.4,0.5,2.3,16.9,0,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
7,356,Dragan Bender,PHX,21,46,9,37,18.0,5.0,1.9,4.3,44.7,0.5,2.2,21.8,0.7,1.2,59.3,0.7,3.2,4.0,1.2,0.8,0.4,0.5,2.0,13.4,5,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8,356,Luc Mbah a Moute,LAC,32,4,2,2,15.3,5.0,2.0,4.5,44.4,0.5,1.5,33.3,0.5,1.3,40.0,0.5,1.3,1.8,0.5,0.5,0.3,0.3,2.0,8.9,0,0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,360,Wes Iwundu,ORL,24,68,36,32,18.1,5.0,1.7,4.0,41.2,0.4,1.2,36.7,1.2,1.5,81.6,0.5,2.2,2.7,1.1,0.6,0.4,0.3,1.8,11.4,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
