,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,1,James Harden,HOU,29,78,51,27,36.8,36.1,10.8,24.5,44.2,4.8,13.2,36.8,9.7,11.0,87.9,0.8,5.8,6.6,7.5,5.0,2.0,0.7,3.1,58.7,34,7,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,Paul George,OKC,28,77,46,31,36.9,28.0,9.2,21.0,43.8,3.8,9.8,38.6,5.9,7.0,83.9,1.4,6.8,8.2,4.1,2.7,2.2,0.4,2.8,49.3,24,1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Giannis Antetokounmpo,MIL,24,72,56,16,32.8,27.7,10.0,17.3,57.8,0.7,2.8,25.6,6.9,9.5,72.9,2.2,10.3,12.5,5.9,3.7,1.3,1.5,3.2,56.2,54,5,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,Joel Embiid,PHI,25,64,43,21,33.7,27.5,9.1,18.7,48.4,1.2,4.1,30.0,8.2,10.1,80.4,2.5,11.1,13.6,3.7,3.5,0.7,1.9,3.3,53.7,58,2,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,LeBron James,LAL,34,55,28,27,35.2,27.4,10.1,19.9,51.0,2.0,5.9,33.9,5.1,7.6,66.5,1.0,7.4,8.5,8.3,3.6,1.3,0.6,1.7,52.0,32,8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Stephen Curry,GSW,31,69,52,17,33.8,27.3,9.2,19.4,47.2,5.1,11.7,43.7,3.8,4.2,91.6,0.7,4.7,5.3,5.2,2.8,1.3,0.4,2.4,43.8,3,0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Kawhi Leonard,TOR,27,60,41,19,34.0,26.6,9.3,18.8,49.6,1.9,5.0,37.1,6.1,7.1,85.4,1.3,6.0,7.3,3.3,2.0,1.8,0.4,1.5,44.8,14,0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,Devin Booker,PHX,22,64,15,49,35.0,26.6,9.2,19.6,46.7,2.1,6.5,32.6,6.1,7.1,86.6,0.6,3.5,4.1,6.8,4.1,0.9,0.2,3.1,40.8,12,0,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,Kevin Durant,GSW,30,78,54,24,34.6,26.0,9.2,17.7,52.1,1.8,5.0,35.3,5.7,6.5,88.5,0.4,5.9,6.4,5.9,2.9,0.7,1.1,2.0,45.0,16,2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,Anthony Davis,NOP,26,56,25,31,33.0,25.9,9.5,18.3,51.7,0.9,2.6,33.1,6.1,7.7,79.4,3.1,8.9,12.0,3.9,2.0,1.6,2.4,2.4,56.1,37,0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,
