,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,101,Enes Kanter,POR,26,67,28,39,24.5,13.7,5.6,10.2,54.9,0.1,0.5,29.4,2.3,2.9,78.7,3.8,6.0,9.8,1.7,1.8,0.5,0.4,2.5,28.9,32,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1,102,Jerami Grant,OKC,25,80,48,32,32.7,13.6,5.1,10.3,49.7,1.4,3.7,39.2,2.0,2.8,71.0,1.2,4.0,5.2,1.0,0.8,0.8,1.3,2.7,26.6,4,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2,103,Dennis Smith Jr.,NYK,21,53,21,32,28.5,13.6,5.2,12.3,42.8,1.3,3.9,32.2,1.9,2.9,63.5,0.6,2.3,2.9,4.8,2.9,1.3,0.4,2.4,26.3,2,1,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
3,104,Al Horford,BOS,32,68,41,27,29.0,13.6,5.7,10.6,53.5,1.1,3.0,36.0,1.1,1.4,82.1,1.8,5.0,6.7,4.2,1.5,0.9,1.3,1.9,32.8,10,1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,Marc Gasol,TOR,34,79,39,40,30.8,13.6,4.9,11.0,44.8,1.3,3.5,36.3,2.4,3.2,75.9,1.0,6.9,7.9,4.4,2.0,1.1,1.1,2.7,34.2,19,1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,106,Taurean Prince,ATL,25,55,19,36,28.2,13.5,4.8,10.8,44.1,2.2,5.7,39.0,1.7,2.1,81.9,0.4,3.2,3.6,2.1,1.8,1.0,0.3,2.6,23.2,0,0,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,
6,107,Carmelo Anthony,HOU,34,10,4,6,29.4,13.4,4.9,12.1,40.5,2.1,6.4,32.8,1.5,2.2,68.2,0.9,4.5,5.4,0.5,0.8,0.4,0.7,3.2,23.1,0,0,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,
7,108,Myles Turner,IND,23,74,43,31,28.6,13.3,5.1,10.5,48.7,1.0,2.6,38.8,2.0,2.7,73.6,1.4,5.8,7.2,1.6,1.4,0.8,2.7,2.6,33.4,17,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
8,109,Robert Covington,MIN,28,35,20,15,34.4,13.3,4.5,10.3,43.1,2.4,6.4,37.8,1.9,2.5,76.4,0.8,4.7,5.5,1.3,1.3,2.1,1.3,3.6,30.9,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,110,Cedi Osman,CLE,24,76,17,59,32.2,13.0,4.7,11.1,42.7,1.7,4.9,34.8,1.9,2.4,77.9,0.6,4.1,4.7,2.6,1.5,0.8,0.1,2.6,23.8,3,0,-8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
10,111,Jaylen Brown,BOS,22,74,41,33,25.9,13.0,5.0,10.7,46.5,1.3,3.7,34.4,1.8,2.7,65.8,0.9,3.4,4.2,1.4,1.3,0.9,0.4,2.5,22.9,2,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
11,112,Gary Harris,DEN,24,57,38,19,28.8,12.9,4.7,11.2,42.4,1.4,4.2,33.9,2.0,2.5,79.9,0.7,2.1,2.8,2.2,1.2,1.0,0.3,2.0,22.3,0,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,113,Kevin Knox,NYK,19,75,15,60,28.8,12.8,4.5,12.2,37.0,1.7,4.9,34.3,2.2,3.0,71.7,0.8,3.7,4.5,1.1,1.5,0.6,0.3,2.3,21.0,3,0,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
13,114,Dwight Howard,WAS,33,9,4,5,25.5,12.8,4.8,7.7,62.3,0.0,0.0,0.0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
