,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,499,Vincent Edwards,HOU,23,2,1,1,7.9,1.5,0.5,2.0,25.0,0.5,2.0,25.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.7,0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,502,Brandon Goodwin,DEN,23,16,10,6,3.6,1.4,0.4,1.4,26.1,0.1,0.4,33.3,0.6,0.7,81.8,0.1,0.1,0.2,0.9,0.2,0.0,0.0,0.4,2.8,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2,503,Jarred Vanderbilt,DEN,20,17,10,7,4.1,1.4,0.5,1.1,47.4,0.0,0.1,0.0,0.4,0.6,60.0,0.4,0.9,1.4,0.2,0.5,0.4,0.1,0.5,4.1,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3,504,Eric Moreland,TOR,27,5,3,2,8.6,1.4,0.6,1.4,42.9,0.2,0.2,100.0,0.0,0.0,0.0,0.8,3.2,4.0,0.8,1.0,0.2,0.2,1.8,7.6,0,0,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
4,505,Malachi Richardson,TOR,23,22,16,6,4.7,1.4,0.4,1.3,31.0,0.4,1.1,32.0,0.2,0.2,80.0,0.1,0.5,0.6,0.0,0.4,0.0,0.0,0.6,1.8,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,506,Jacob Evans,GSW,21,30,21,9,6.8,1.3,0.6,1.8,34.0,0.1,0.5,26.7,0.0,0.0,0.0,0.2,0.6,0.8,0.8,0.4,0.2,0.1,0.9,3.9,0,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,507,Davon Reed,IND,23,10,4,6,4.7,1.2,0.5,1.2,41.7,0.2,0.4,50.0,0.0,0.0,0.0,0.2,0.4,0.6,0.3,0.1,0.1,0.0,0.3,2.6,0,0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
7,508,Naz Mitrou-Long,UTA,25,14,9,5,6.0,1.1,0.4,1.4,30.0,0.1,0.8,18.2,0.1,0.1,100.0,0.1,0.4,0.4,1.1,0.6,0.1,0.1,0.7,3.1,0,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
8,509,DeVaughn Akoon-Purcell,DEN,25,7,7,0,3.1,1.0,0.4,1.4,30.0,0.0,0.6,0.0,0.1,0.3,50.0,0.1,0.4,0.6,0.9,0.3,0.3,0.0,0.6,3.5,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,509,Kostas Antetokounmpo,DAL,21,2,1,1,5.3,1.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.0,4.1,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,509,Terrence Jones,HOU,27,2,2,0,2.6,1.0,0.5,2.0,25.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,2.0,2.0,0.0,0.5,0.0,0.0,0.5,2.9,0,0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
