,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,151,Trey Burke,DAL,26,58,16,42,19.4,10.9,4.1,9.4,43.1,1.0,2.7,35.2,1.8,2.1,83.1,0.5,1.2,1.7,2.7,0.8,0.6,0.1,1.0,18.3,1,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,152,Tyler Johnson,PHX,26,57,26,31,26.8,10.9,3.8,9.2,41.3,1.6,4.6,34.6,1.7,2.2,74.8,0.6,2.4,3.0,2.9,1.4,0.9,0.5,1.7,21.8,0,0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,153,Allonzo Trier,NYK,23,64,13,51,22.8,10.9,3.6,8.1,44.8,0.8,2.1,39.4,2.8,3.5,80.3,0.5,2.6,3.1,1.9,1.8,0.4,0.2,1.8,17.5,2,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,154,Shai Gilgeous-Alexander,LAC,20,82,48,34,26.5,10.8,4.2,8.7,47.6,0.6,1.7,36.7,1.9,2.4,80.0,0.7,2.1,2.8,3.3,1.7,1.2,0.5,2.1,22.6,1,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,155,Dewayne Dedmon,ATL,29,64,24,40,25.1,10.8,4.0,8.2,49.2,1.3,3.4,38.2,1.4,1.8,81.4,1.6,5.9,7.5,1.4,1.3,1.1,1.1,3.3,27.2,11,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
5,156,Taj Gibson,MIN,33,70,32,38,24.1,10.8,4.3,7.7,56.6,0.2,0.5,32.4,1.9,2.5,75.7,2.5,4.1,6.5,1.2,1.0,0.8,0.6,2.7,23.3,13,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,157,Damyean Dotson,NYK,24,73,12,61,27.4,10.7,4.0,9.6,41.5,1.7,4.7,36.8,1.0,1.3,74.5,0.5,3.1,3.6,1.8,1.0,0.8,0.1,1.8,19.6,1,0,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,158,Elfrid Payton,NOP,25,42,18,24,29.8,10.6,4.3,9.8,43.4,0.8,2.5,31.4,1.3,1.8,74.3,1.2,4.1,5.2,7.6,2.7,1.0,0.4,1.9,30.0,10,6,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
8,159,Dario Saric,MIN,25,81,39,42,25.0,10.6,3.8,8.6,43.7,1.5,4.0,36.5,1.6,1.9,88.0,1.6,4.1,5.6,1.6,1.2,0.6,0.1,2.2,20.5,3,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,160,Dwight Powell,DAL,27,77,31,46,21.6,10.6,3.8,6.3,59.7,0.5,1.6,30.7,2.5,3.3,77.2,1.8,3.5,5.3,1.5,0.9,0.6,0.6,2.6,22.0,6,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,161,Thomas Bryant,WAS,21,72,29,43,20.8,10.5,4.3,7.0,61.6,0.5,1.4,33.3,1.5,1.9,78.1,1.6,4.7,6.3,1.3,0.8,0.3,0.9,1.8,23.0,14,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
11,162,Marco Belinelli,SAS,33,79,46,33,23.0,10.5,3.6,8.7,41.3,1.9,5.0,37.2,1.4,1.6,90.3,0.2,2.3,2.5,1.7,0.9,0.4,0.1,1.5,16.7,1,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
