,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,51,Bojan Bogdanovic,IND,29,81,47,34,31.8,18.0,6.4,13.0,49.7,2.0,4.8,42.5,3.0,3.8,80.7,0.4,3.7,4.1,2.0,1.7,0.9,0.0,1.7,26.8,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,Andre Drummond,DET,25,79,40,39,33.5,17.3,7.1,13.3,53.3,0.1,0.5,13.2,3.1,5.2,59.0,5.4,10.2,15.6,1.4,2.2,1.7,1.7,3.4,46.4,69,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,53,De'Aaron Fox,SAC,21,81,39,42,31.4,17.3,6.2,13.6,45.8,1.1,2.9,37.1,3.7,5.1,72.7,0.5,3.2,3.8,7.3,2.8,1.6,0.6,2.5,36.5,16,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
3,54,Kevin Love,CLE,30,22,7,15,27.2,17.0,5.0,12.9,38.5,2.4,6.7,36.1,4.7,5.2,90.4,1.5,9.4,10.9,2.2,1.9,0.3,0.2,2.5,32.9,12,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
4,54,RJ Hunter,BOS,25,1,1,0,25.7,17.0,6.0,13.0,46.2,4.0,10.0,40.0,1.0,2.0,50.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,3.0,28.1,0,0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,56,Pascal Siakam,TOR,25,80,57,23,31.8,16.9,6.5,11.8,54.9,1.0,2.7,36.9,3.0,3.8,78.5,1.6,5.3,6.9,3.1,1.9,0.9,0.7,3.0,32.6,18,0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
6,57,Ben Simmons,PHI,22,79,50,29,34.2,16.9,6.8,12.2,56.3,0.0,0.1,0.0,3.3,5.4,60.0,2.2,6.6,8.8,7.7,3.5,1.4,0.8,2.6,42.2,42,10,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
7,58,Jordan Clarkson,CLE,26,81,18,63,27.3,16.8,6.5,14.6,44.8,1.8,5.5,32.4,2.0,2.4,84.4,1.0,2.3,3.3,2.4,1.7,0.7,0.2,1.4,25.4,1,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
8,59,Spencer Dinwiddie,BKN,26,68,36,32,28.1,16.8,5.4,12.2,44.2,1.8,5.4,33.5,4.2,5.2,80.6,0.4,2.1,2.4,4.6,2.2,0.6,0.3,2.8,26.9,2,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
9,60,Collin Sexton,CLE,20,82,19,63,31.8,16.7,6.3,14.7,43.0,1.5,3.6,40.2,2.6,3.1,83.9,0.7,2.2,2.9,3.0,2.3,0.5,0.1,2.3,24.2,2,0,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,61,Clint Capela,HOU,24,67,44,23,33.6,16.6,7.1,10.9,64.8,0.0,0.0,0.0,2.5,3.9,63.6,4.4,8.2,12.7,1.4,1.4,0.7,1.5,2.5,39.1,45,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
11,62,Montrezl Harrell,LAC,25,82,48,34,26.3,16.6,6.7,10.8,61.5,0.0,0.2,17.6,3.2,5.0,64.3,2.2,4.3,6.5,2.0,1.6,0.9,1.3,3.1,32.4,17,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
12,63,Josh Richardson,MIA,25,73,35,38,34.8,16.6,5.8,14.1,41.2,2.2,6.3,35.7,2.7,3.2,86.1,0.7,2.9,3.6,4.1,1.5,1.1,0.5,2.7,30.1,1,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
13,64,Harrison Barnes,SAC,26,77,34,43,32.9,16.4,5.6,13.3,42.0,2.3,5.7,39.5,3.0,3.6,82.4,0.7,3.9,4.7,1.5,1.3,0.6,0.2,1.6,25.5,4,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
14,65,Deandre Ayton,PHX,20,71,17,54,30.7,16.3,7.2,12.3,58.5,0.0,0.1,0.0,2.0,2.7,74.6,3.1,7.1,10.3,1.8,1.8,0.9,0.9,2.9,34.9,39,0,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
15,66,DeMarcus Cousins,GSW,28,30,23,7,25.7,16.3,5.9,12.4,48.0,0.9,3.2,27.4,3.5,4.8,73.6,1.4,6.8,8.2,3.6,2.4,1.3,1.5,3.6,37.5,10,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
16,67,Eric Gordon,HOU,30,68,44,24,31.7,16.2,5.6,13.8,40.9,3.2,8.8,36.0,1.8,2.2,78.3,0.3,1.9,2.2,1.9,1.3,0.6,0.4,2.1,23.4,0,0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,
